,name,date,score,content,ups,thumbs,reliability,Language,desc,text,text_without_stopwords,tokenized,wordnet_pos,lemmatized
0,SparkeyMark86,"Nov 17, 2020",9,The most fun PlayStation platformer I played since Tearaway. It may not the most original due to it takes elements from Mario 3D world and music levels from Rayman but still has it's own charm and personality. Having Dawn French as scarlet is a stroke of genius. I guarantee this will put a smile on your face.,2,2,1.0,en,positive,the most fun playstation platformer i played since tearaway it may not the most original due to it takes elements from mario d world and music levels from rayman but still has it is own charm and personality having dawn french as scarlet is a stroke of genius i guarantee this will put a smile on your face,fun playstation platformer played since tearaway may original due takes elements mario world music levels rayman still charm personality dawn french scarlet stroke genius guarantee put smile face,"[('fun', 'NN'), ('playstation', 'NN'), ('platformer', 'NN'), ('played', 'VBD'), ('since', 'IN'), ('tearaway', 'NN'), ('may', 'MD'), ('original', 'VB'), ('due', 'JJ'), ('takes', 'VBZ'), ('elements', 'NNS'), ('mario', 'JJ'), ('world', 'NN'), ('music', 'NN'), ('levels', 'NNS'), ('rayman', 'VBP'), ('still', 'RB'), ('charm', 'JJ'), ('personality', 'NN'), ('dawn', 'NN'), ('french', 'JJ'), ('scarlet', 'NN'), ('stroke', 'VBD'), ('genius', 'JJ'), ('guarantee', 'NN'), ('put', 'VBD'), ('smile', 'JJ'), ('face', 'NN')]","[('fun', 'n'), ('playstation', 'n'), ('platformer', 'n'), ('played', 'v'), ('since', 'n'), ('tearaway', 'n'), ('may', 'n'), ('original', 'v'), ('due', 'a'), ('takes', 'v'), ('elements', 'n'), ('mario', 'a'), ('world', 'n'), ('music', 'n'), ('levels', 'n'), ('rayman', 'v'), ('still', 'r'), ('charm', 'a'), ('personality', 'n'), ('dawn', 'n'), ('french', 'a'), ('scarlet', 'n'), ('stroke', 'v'), ('genius', 'a'), ('guarantee', 'n'), ('put', 'v'), ('smile', 'a'), ('face', 'n')]",fun playstation platformer play since tearaway may original due take element mario world music level rayman still charm personality dawn french scarlet stroke genius guarantee put smile face
1,Jleffel22,"Nov 14, 2020",9,"Such a fun cute game! I love all these unique creative levels that abuse the duelsense controller as well as running at a smooth 60fps. Gets a but boring at times, but still great overall. I highly recommend getting this game especially if you have friends to enjoy it with!",2,2,1.0,en,positive,such a fun cute game i love all these unique creative levels that abuse the duelsense controller as well as running at a smooth fps gets a but boring at times but still great overall i highly recommend getting this game especially if you have friends to enjoy it with,fun cute game love unique creative levels abuse duelsense controller well running smooth fps gets boring times still great overall highly recommend getting game especially friends enjoy,"[('fun', 'RB'), ('cute', 'JJ'), ('game', 'NN'), ('love', 'NN'), ('unique', 'JJ'), ('creative', 'JJ'), ('levels', 'NNS'), ('abuse', 'IN'), ('duelsense', 'NN'), ('controller', 'NN'), ('well', 'RB'), ('running', 'VBG'), ('smooth', 'CC'), ('fps', 'JJ'), ('gets', 'VBZ'), ('boring', 'JJ'), ('times', 'NNS'), ('still', 'RB'), ('great', 'JJ'), ('overall', 'JJ'), ('highly', 'RB'), ('recommend', 'VBP'), ('getting', 'VBG'), ('game', 'NN'), ('especially', 'RB'), ('friends', 'VBZ'), ('enjoy', 'NN')]","[('fun', 'r'), ('cute', 'a'), ('game', 'n'), ('love', 'n'), ('unique', 'a'), ('creative', 'a'), ('levels', 'n'), ('abuse', 'n'), ('duelsense', 'n'), ('controller', 'n'), ('well', 'r'), ('running', 'v'), ('smooth', 'n'), ('fps', 'a'), ('gets', 'v'), ('boring', 'a'), ('times', 'n'), ('still', 'r'), ('great', 'a'), ('overall', 'a'), ('highly', 'r'), ('recommend', 'v'), ('getting', 'v'), ('game', 'n'), ('especially', 'r'), ('friends', 'v'), ('enjoy', 'n')]",fun cute game love unique creative level abuse duelsense controller well run smooth fps get boring time still great overall highly recommend get game especially friends enjoy
3,Drawnimo,"Nov 16, 2020",10,"Sackboy: A Big Adventure is a whimsically fantastic take on the LittleBigPlanet series that lives up to the name despite its new stitching. It's an amazing platforming experience for all ages, especially when playing with friends or trying to earn all of the many different collectibles found in each diverse level. An admittedly barebones story does not detract from what the game does best:Sackboy: A Big Adventure is a whimsically fantastic take on the LittleBigPlanet series that lives up to the name despite its new stitching. It's an amazing platforming experience for all ages, especially when playing with friends or trying to earn all of the many different collectibles found in each diverse level. An admittedly barebones story does not detract from what the game does best: carefully crafted gameplay accentuated by a childish and playful atmosphere that never failed to put a smile on my face. Hours in, and still far from 100% completion, I can't wait to finish writing this review so I can hop back into Craftworld, which is still as magical as it was when I first played the original LittleBigPlanet on my PS3. Thank you for such a great (and criminally overlooked/underrated) launch game, Sumo Digital. You have truly outdone yourselves. :)… Expand",1,1,1.0,en,positive,sackboy a big adventure is a whimsically fantastic take on the littlebigplanet series that lives up to the name despite its new stitching it is an amazing platforming experience for all ages especially when playing with friends or trying to earn all of the many different collectibles found in each diverse level an admittedly barebones story does not detract from what the game does bestsackboy a big adventure is a whimsically fantastic take on the littlebigplanet series that lives up to the name despite its new stitching it is an amazing platforming experience for all ages especially when playing with friends or trying to earn all of the many different collectibles found in each diverse level an admittedly barebones story does not detract from what the game does best carefully crafted gameplay accentuated by a childish and playful atmosphere that never failed to put a smile on my face hours in and still far from  completion i cannot wait to finish writing this review so i can hop back into craftworld which is still as magical as it was when i first played the original littlebigplanet on my ps thank you for such a great and criminally overlookedunderrated launch game sumo digital you have truly outdone yourselves  expand,sackboy big adventure whimsically fantastic take littlebigplanet series lives name despite new stitching amazing platforming experience ages especially playing friends trying earn many different collectibles found diverse level admittedly barebones story detract game bestsackboy big adventure whimsically fantastic take littlebigplanet series lives name despite new stitching amazing platforming experience ages especially playing friends trying earn many different collectibles found diverse level admittedly barebones story detract game best carefully crafted gameplay accentuated childish playful atmosphere never failed put smile face hours still far completion cannot wait finish writing review hop back craftworld still magical first played original littlebigplanet ps thank great criminally overlookedunderrated launch game sumo digital truly outdone expand,"[('sackboy', 'NN'), ('big', 'JJ'), ('adventure', 'NN'), ('whimsically', 'RB'), ('fantastic', 'JJ'), ('take', 'VB'), ('littlebigplanet', 'JJ'), ('series', 'NN'), ('lives', 'VBZ'), ('name', 'RB'), ('despite', 'IN'), ('new', 'JJ'), ('stitching', 'VBG'), ('amazing', 'JJ'), ('platforming', 'VBG'), ('experience', 'NN'), ('ages', 'NNS'), ('especially', 'RB'), ('playing', 'VBG'), ('friends', 'NNS'), ('trying', 'VBG'), ('earn', 'VBP'), ('many', 'JJ'), ('different', 'JJ'), ('collectibles', 'NNS'), ('found', 'VBD'), ('diverse', 'JJ'), ('level', 'NN'), ('admittedly', 'RB'), ('barebones', 'VBZ'), ('story', 'NN'), ('detract', 'JJ'), ('game', 'NN'), ('bestsackboy', 'NN'), ('big', 'JJ'), ('adventure', 'NN'), ('whimsically', 'RB'), ('fantastic', 'JJ'), ('take', 'VB'), ('littlebigplanet', 'JJ'), ('series', 'NN'), ('lives', 'VBZ'), ('name', 'RB'), ('despite', 'IN'), ('new', 'JJ'), ('stitching', 'VBG'), ('amazing', 'JJ'), ('platforming', 'VBG'), ('experience', 'NN'), ('ages', 'NNS'), ('especially', 'RB'), ('playing', 'VBG'), ('friends', 'NNS'), ('trying', 'VBG'), ('earn', 'VBP'), ('many', 'JJ'), ('different', 'JJ'), ('collectibles', 'NNS'), ('found', 'VBD'), ('diverse', 'JJ'), ('level', 'NN'), ('admittedly', 'RB'), ('barebones', 'VBZ'), ('story', 'NN'), ('detract', 'JJ'), ('game', 'NN'), ('best', 'JJS'), ('carefully', 'RB'), ('crafted', 'VBN'), ('gameplay', 'NN'), ('accentuated', 'VBD'), ('childish', 'JJ'), ('playful', 'NN'), ('atmosphere', 'RB'), ('never', 'RB'), ('failed', 'VBD'), ('put', 'VBN'), ('smile', 'JJ'), ('face', 'NN'), ('hours', 'NNS'), ('still', 'RB'), ('far', 'RB'), ('completion', 'NN'), ('can', 'MD'), ('not', 'RB'), ('wait', 'VB'), ('finish', 'JJ'), ('writing', 'VBG'), ('review', 'NN'), ('hop', 'NN'), ('back', 'RB'), ('craftworld', 'NN'), ('still', 'RB'), ('magical', 'JJ'), ('first', 'JJ'), ('played', 'VBN'), ('original', 'JJ'), ('littlebigplanet', 'NN'), ('ps', 'NN'), ('thank', 'NN'), ('great', 'JJ'), ('criminally', 'RB'), ('overlookedunderrated', 'VBN'), ('launch', 'JJ'), ('game', 'NN'), ('sumo', 'JJ'), ('digital', 'JJ'), ('truly', 'NN'), ('outdone', 'CD'), ('expand', 'NN')]","[('sackboy', 'n'), ('big', 'a'), ('adventure', 'n'), ('whimsically', 'r'), ('fantastic', 'a'), ('take', 'v'), ('littlebigplanet', 'a'), ('series', 'n'), ('lives', 'v'), ('name', 'r'), ('despite', 'n'), ('new', 'a'), ('stitching', 'v'), ('amazing', 'a'), ('platforming', 'v'), ('experience', 'n'), ('ages', 'n'), ('especially', 'r'), ('playing', 'v'), ('friends', 'n'), ('trying', 'v'), ('earn', 'v'), ('many', 'a'), ('different', 'a'), ('collectibles', 'n'), ('found', 'v'), ('diverse', 'a'), ('level', 'n'), ('admittedly', 'r'), ('barebones', 'v'), ('story', 'n'), ('detract', 'a'), ('game', 'n'), ('bestsackboy', 'n'), ('big', 'a'), ('adventure', 'n'), ('whimsically', 'r'), ('fantastic', 'a'), ('take', 'v'), ('littlebigplanet', 'a'), ('series', 'n'), ('lives', 'v'), ('name', 'r'), ('despite', 'n'), ('new', 'a'), ('stitching', 'v'), ('amazing', 'a'), ('platforming', 'v'), ('experience', 'n'), ('ages', 'n'), ('especially', 'r'), ('playing', 'v'), ('friends', 'n'), ('trying', 'v'), ('earn', 'v'), ('many', 'a'), ('different', 'a'), ('collectibles', 'n'), ('found', 'v'), ('diverse', 'a'), ('level', 'n'), ('admittedly', 'r'), ('barebones', 'v'), ('story', 'n'), ('detract', 'a'), ('game', 'n'), ('best', 'a'), ('carefully', 'r'), ('crafted', 'v'), ('gameplay', 'n'), ('accentuated', 'v'), ('childish', 'a'), ('playful', 'n'), ('atmosphere', 'r'), ('never', 'r'), ('failed', 'v'), ('put', 'v'), ('smile', 'a'), ('face', 'n'), ('hours', 'n'), ('still', 'r'), ('far', 'r'), ('completion', 'n'), ('can', 'n'), ('not', 'r'), ('wait', 'v'), ('finish', 'a'), ('writing', 'v'), ('review', 'n'), ('hop', 'n'), ('back', 'r'), ('craftworld', 'n'), ('still', 'r'), ('magical', 'a'), ('first', 'a'), ('played', 'v'), ('original', 'a'), ('littlebigplanet', 'n'), ('ps', 'n'), ('thank', 'n'), ('great', 'a'), ('criminally', 'r'), ('overlookedunderrated', 'v'), ('launch', 'a'), ('game', 'n'), ('sumo', 'a'), ('digital', 'a'), ('truly', 'n'), ('outdone', 'n'), ('expand', 'n')]",sackboy big adventure whimsically fantastic take littlebigplanet series live name despite new stitch amazing platforming experience age especially play friend try earn many different collectible find diverse level admittedly barebones story detract game bestsackboy big adventure whimsically fantastic take littlebigplanet series live name despite new stitch amazing platforming experience age especially play friend try earn many different collectible find diverse level admittedly barebones story detract game best carefully craft gameplay accentuate childish playful atmosphere never fail put smile face hour still far completion can not wait finish write review hop back craftworld still magical first play original littlebigplanet p thank great criminally overlookedunderrated launch game sumo digital truly outdone expand
6,Tunisaiyan,"Nov 14, 2020",10,It's so good to play it with your brother. The game looks beautiful and it's sharp. The differents musics remain me my childhood playing little big planet 3 ! ,1,1,1.0,en,positive,it is so good to play it with your brother the game looks beautiful and it is sharp the differents musics remain me my childhood playing little big planet  ,good play brother game looks beautiful sharp differents musics remain childhood playing little big planet,"[('good', 'JJ'), ('play', 'NN'), ('brother', 'NN'), ('game', 'NN'), ('looks', 'VBZ'), ('beautiful', 'JJ'), ('sharp', 'JJ'), ('differents', 'NNS'), ('musics', 'NNS'), ('remain', 'VBP'), ('childhood', 'JJ'), ('playing', 'NN'), ('little', 'JJ'), ('big', 'JJ'), ('planet', 'NN')]","[('good', 'a'), ('play', 'n'), ('brother', 'n'), ('game', 'n'), ('looks', 'v'), ('beautiful', 'a'), ('sharp', 'a'), ('differents', 'n'), ('musics', 'n'), ('remain', 'v'), ('childhood', 'a'), ('playing', 'n'), ('little', 'a'), ('big', 'a'), ('planet', 'n')]",good play brother game look beautiful sharp differents music remain childhood playing little big planet
7,Kratos_0611,"Nov 14, 2020",10,This game had low expectations from me but it has exceeded my expectations. It's a great fun game to play with your loved ones.,1,1,1.0,en,positive,this game had low expectations from me but it has exceeded my expectations it is a great fun game to play with your loved ones,game low expectations exceeded expectations great fun game play loved ones,"[('game', 'NN'), ('low', 'JJ'), ('expectations', 'NNS'), ('exceeded', 'VBD'), ('expectations', 'NNS'), ('great', 'JJ'), ('fun', 'JJ'), ('game', 'NN'), ('play', 'NN'), ('loved', 'VBD'), ('ones', 'NNS')]","[('game', 'n'), ('low', 'a'), ('expectations', 'n'), ('exceeded', 'v'), ('expectations', 'n'), ('great', 'a'), ('fun', 'a'), ('game', 'n'), ('play', 'n'), ('loved', 'v'), ('ones', 'n')]",game low expectation exceed expectation great fun game play love one
8,ynotsolrac,"Nov 21, 2020",10,"Great game, I like so much for this style of ""plataformer"" , sackboy is a great character of Sony, this game is a great start tô PS 5 in this generation",1,1,1.0,en,positive,great game i like so much for this style of plataformer  sackboy is a great character of sony this game is a great start tô ps  in this generation,great game like much style plataformer sackboy great character sony game great start tô ps generation,"[('great', 'JJ'), ('game', 'NN'), ('like', 'IN'), ('much', 'JJ'), ('style', 'NN'), ('plataformer', 'NN'), ('sackboy', 'NN'), ('great', 'JJ'), ('character', 'NN'), ('sony', 'NN'), ('game', 'NN'), ('great', 'JJ'), ('start', 'NN'), ('tô', 'NN'), ('ps', 'NN'), ('generation', 'NN')]","[('great', 'a'), ('game', 'n'), ('like', 'n'), ('much', 'a'), ('style', 'n'), ('plataformer', 'n'), ('sackboy', 'n'), ('great', 'a'), ('character', 'n'), ('sony', 'n'), ('game', 'n'), ('great', 'a'), ('start', 'n'), ('tô', 'n'), ('ps', 'n'), ('generation', 'n')]",great game like much style plataformer sackboy great character sony game great start tô p generation
9,Madhal,"Nov 15, 2020",10,Sackboy is very nice platform adventure game its deseve 10/10 score of course,1,1,1.0,en,positive,sackboy is very nice platform adventure game its deseve  score of course,sackboy nice platform adventure game deseve score course,"[('sackboy', 'JJ'), ('nice', 'JJ'), ('platform', 'NN'), ('adventure', 'NN'), ('game', 'NN'), ('deseve', 'VBP'), ('score', 'NN'), ('course', 'NN')]","[('sackboy', 'a'), ('nice', 'a'), ('platform', 'n'), ('adventure', 'n'), ('game', 'n'), ('deseve', 'v'), ('score', 'n'), ('course', 'n')]",sackboy nice platform adventure game deseve score course
10,KeithMyAxe,"Nov 15, 2020",9,Sackboy is truly something special. Little big planet was good but this is much more than that,1,1,1.0,en,positive,sackboy is truly something special little big planet was good but this is much more than that,sackboy truly something special little big planet good much,"[('sackboy', 'NN'), ('truly', 'RB'), ('something', 'NN'), ('special', 'JJ'), ('little', 'JJ'), ('big', 'JJ'), ('planet', 'NN'), ('good', 'JJ'), ('much', 'RB')]","[('sackboy', 'n'), ('truly', 'r'), ('something', 'n'), ('special', 'a'), ('little', 'a'), ('big', 'a'), ('planet', 'n'), ('good', 'a'), ('much', 'r')]",sackboy truly something special little big planet good much
11,busylast,"Dec 1, 2020",6,"Its a decent game, nice characters and great world design. I feel like they should have taken more advantage of the PS5's controller. Overall it seems more like a PS4 title and I don't see the next gen benefits really.",1,1,1.0,en,neutral,its a decent game nice characters and great world design i feel like they should have taken more advantage of the pss controller overall it seems more like a ps title and i do not see the next gen benefits really,decent game nice characters great world design feel like taken advantage pss controller overall seems like ps title see next gen benefits really,"[('decent', 'JJ'), ('game', 'NN'), ('nice', 'JJ'), ('characters', 'NNS'), ('great', 'JJ'), ('world', 'NN'), ('design', 'NN'), ('feel', 'VBP'), ('like', 'IN'), ('taken', 'VBN'), ('advantage', 'NN'), ('pss', 'NN'), ('controller', 'NN'), ('overall', 'JJ'), ('seems', 'VBZ'), ('like', 'IN'), ('ps', 'NN'), ('title', 'NN'), ('see', 'VBP'), ('next', 'JJ'), ('gen', 'NN'), ('benefits', 'NNS'), ('really', 'RB')]","[('decent', 'a'), ('game', 'n'), ('nice', 'a'), ('characters', 'n'), ('great', 'a'), ('world', 'n'), ('design', 'n'), ('feel', 'v'), ('like', 'n'), ('taken', 'v'), ('advantage', 'n'), ('pss', 'n'), ('controller', 'n'), ('overall', 'a'), ('seems', 'v'), ('like', 'n'), ('ps', 'n'), ('title', 'n'), ('see', 'v'), ('next', 'a'), ('gen', 'n'), ('benefits', 'n'), ('really', 'r')]",decent game nice character great world design feel like take advantage ps controller overall seem like p title see next gen benefit really
13,Slimpicckens,"Nov 23, 2020",10,"This game is really cute and an absolute joy. You wont regret 100% or platinuming the game. Amazing moveset, level design and stunning visuals. Story is full of great humor and will make you laugh even when youre an adult. Its just amazing platforming experience and i dont regret any second of it. This game is just fun and in later worlds challenging at the same time. Time trials (orThis game is really cute and an absolute joy. You wont regret 100% or platinuming the game. Amazing moveset, level design and stunning visuals. Story is full of great humor and will make you laugh even when youre an adult. Its just amazing platforming experience and i dont regret any second of it. This game is just fun and in later worlds challenging at the same time. Time trials (or knitted knight trials) are the most fun i had with time trials in a game. This is a must play when youre a fan of platformers and have PS4/PS5. Stunning and Amazing game 10/10. Btw the plush with special edition is just sooo cute and i would reccomend the special edition of the game more than the standard one. Its really worth 90 dollars and you get a lot of content with it. Or when youre digital only theres digital deluxe edition that includes the digital content of the special edition. Its the same but without a Tiger Sackboy plush and a phisical artbook. (You actually get the digital artbook in both versions)… Expand",1,1,1.0,en,positive,this game is really cute and an absolute joy you will not regret  or platinuming the game amazing moveset level design and stunning visuals story is full of great humor and will make you laugh even when you are an adult its just amazing platforming experience and i do not regret any second of it this game is just fun and in later worlds challenging at the same time time trials orthis game is really cute and an absolute joy you will not regret  or platinuming the game amazing moveset level design and stunning visuals story is full of great humor and will make you laugh even when you are an adult its just amazing platforming experience and i do not regret any second of it this game is just fun and in later worlds challenging at the same time time trials or knitted knight trials are the most fun i had with time trials in a game this is a must play when you are a fan of platformers and have psps stunning and amazing game  btw the plush with special edition is just sooo cute and i would reccomend the special edition of the game more than the standard one its really worth  dollars and you get a lot of content with it or when you are digital only there is digital deluxe edition that includes the digital content of the special edition its the same but without a tiger sackboy plush and a phisical artbook you actually get the digital artbook in both versions expand,game really cute absolute joy regret platinuming game amazing moveset level design stunning visuals story full great humor make laugh even adult amazing platforming experience regret second game fun later worlds challenging time time trials orthis game really cute absolute joy regret platinuming game amazing moveset level design stunning visuals story full great humor make laugh even adult amazing platforming experience regret second game fun later worlds challenging time time trials knitted knight trials fun time trials game must play fan platformers psps stunning amazing game btw plush special edition sooo cute would reccomend special edition game standard one really worth dollars get lot content digital digital deluxe edition includes digital content special edition without tiger sackboy plush phisical artbook actually get digital artbook versions expand,"[('game', 'NN'), ('really', 'RB'), ('cute', 'JJ'), ('absolute', 'NN'), ('joy', 'NN'), ('regret', 'VB'), ('platinuming', 'JJ'), ('game', 'NN'), ('amazing', 'JJ'), ('moveset', 'NN'), ('level', 'NN'), ('design', 'NN'), ('stunning', 'JJ'), ('visuals', 'NNS'), ('story', 'NN'), ('full', 'JJ'), ('great', 'JJ'), ('humor', 'NN'), ('make', 'VBP'), ('laugh', 'NN'), ('even', 'RB'), ('adult', 'VBD'), ('amazing', 'JJ'), ('platforming', 'NN'), ('experience', 'NN'), ('regret', 'JJ'), ('second', 'JJ'), ('game', 'NN'), ('fun', 'NN'), ('later', 'RB'), ('worlds', 'VBZ'), ('challenging', 'VBG'), ('time', 'NN'), ('time', 'NN'), ('trials', 'NNS'), ('orthis', 'VBP'), ('game', 'NN'), ('really', 'RB'), ('cute', 'JJ'), ('absolute', 'NN'), ('joy', 'NN'), ('regret', 'VB'), ('platinuming', 'JJ'), ('game', 'NN'), ('amazing', 'JJ'), ('moveset', 'NN'), ('level', 'NN'), ('design', 'NN'), ('stunning', 'JJ'), ('visuals', 'NNS'), ('story', 'NN'), ('full', 'JJ'), ('great', 'JJ'), ('humor', 'NN'), ('make', 'VBP'), ('laugh', 'NN'), ('even', 'RB'), ('adult', 'VBD'), ('amazing', 'JJ'), ('platforming', 'NN'), ('experience', 'NN'), ('regret', 'JJ'), ('second', 'JJ'), ('game', 'NN'), ('fun', 'NN'), ('later', 'RB'), ('worlds', 'VBZ'), ('challenging', 'VBG'), ('time', 'NN'), ('time', 'NN'), ('trials', 'NNS'), ('knitted', 'VBD'), ('knight', 'JJ'), ('trials', 'NNS'), ('fun', 'VBP'), ('time', 'NN'), ('trials', 'NNS'), ('game', 'NN'), ('must', 'MD'), ('play', 'VB'), ('fan', 'NN'), ('platformers', 'NNS'), ('psps', 'VBP'), ('stunning', 'VBG'), ('amazing', 'JJ'), ('game', 'NN'), ('btw', 'NN'), ('plush', 'NN'), ('special', 'JJ'), ('edition', 'NN'), ('sooo', 'NN'), ('cute', 'NN'), ('would', 'MD'), ('reccomend', 'VB'), ('special', 'JJ'), ('edition', 'NN'), ('game', 'NN'), ('standard', 'VBD'), ('one', 'CD'), ('really', 'RB'), ('worth', 'JJ'), ('dollars', 'NNS'), ('get', 'VBP'), ('lot', 'NN'), ('content', 'JJ'), ('digital', 'JJ'), ('digital', 'JJ'), ('deluxe', 'NN'), ('edition', 'NN'), ('includes', 'VBZ'), ('digital', 'JJ'), ('content', 'NN'), ('special', 'JJ'), ('edition', 'NN'), ('without', 'IN'), ('tiger', 'NN'), ('sackboy', 'NN'), ('plush', 'JJ'), ('phisical', 'JJ'), ('artbook', 'NN'), ('actually', 'RB'), ('get', 'VB'), ('digital', 'JJ'), ('artbook', 'NN'), ('versions', 'NNS'), ('expand', 'VBP')]","[('game', 'n'), ('really', 'r'), ('cute', 'a'), ('absolute', 'n'), ('joy', 'n'), ('regret', 'v'), ('platinuming', 'a'), ('game', 'n'), ('amazing', 'a'), ('moveset', 'n'), ('level', 'n'), ('design', 'n'), ('stunning', 'a'), ('visuals', 'n'), ('story', 'n'), ('full', 'a'), ('great', 'a'), ('humor', 'n'), ('make', 'v'), ('laugh', 'n'), ('even', 'r'), ('adult', 'v'), ('amazing', 'a'), ('platforming', 'n'), ('experience', 'n'), ('regret', 'a'), ('second', 'a'), ('game', 'n'), ('fun', 'n'), ('later', 'r'), ('worlds', 'v'), ('challenging', 'v'), ('time', 'n'), ('time', 'n'), ('trials', 'n'), ('orthis', 'v'), ('game', 'n'), ('really', 'r'), ('cute', 'a'), ('absolute', 'n'), ('joy', 'n'), ('regret', 'v'), ('platinuming', 'a'), ('game', 'n'), ('amazing', 'a'), ('moveset', 'n'), ('level', 'n'), ('design', 'n'), ('stunning', 'a'), ('visuals', 'n'), ('story', 'n'), ('full', 'a'), ('great', 'a'), ('humor', 'n'), ('make', 'v'), ('laugh', 'n'), ('even', 'r'), ('adult', 'v'), ('amazing', 'a'), ('platforming', 'n'), ('experience', 'n'), ('regret', 'a'), ('second', 'a'), ('game', 'n'), ('fun', 'n'), ('later', 'r'), ('worlds', 'v'), ('challenging', 'v'), ('time', 'n'), ('time', 'n'), ('trials', 'n'), ('knitted', 'v'), ('knight', 'a'), ('trials', 'n'), ('fun', 'v'), ('time', 'n'), ('trials', 'n'), ('game', 'n'), ('must', 'n'), ('play', 'v'), ('fan', 'n'), ('platformers', 'n'), ('psps', 'v'), ('stunning', 'v'), ('amazing', 'a'), ('game', 'n'), ('btw', 'n'), ('plush', 'n'), ('special', 'a'), ('edition', 'n'), ('sooo', 'n'), ('cute', 'n'), ('would', 'n'), ('reccomend', 'v'), ('special', 'a'), ('edition', 'n'), ('game', 'n'), ('standard', 'v'), ('one', 'n'), ('really', 'r'), ('worth', 'a'), ('dollars', 'n'), ('get', 'v'), ('lot', 'n'), ('content', 'a'), ('digital', 'a'), ('digital', 'a'), ('deluxe', 'n'), ('edition', 'n'), ('includes', 'v'), ('digital', 'a'), ('content', 'n'), ('special', 'a'), ('edition', 'n'), ('without', 'n'), ('tiger', 'n'), ('sackboy', 'n'), ('plush', 'a'), ('phisical', 'a'), ('artbook', 'n'), ('actually', 'r'), ('get', 'v'), ('digital', 'a'), ('artbook', 'n'), ('versions', 'n'), ('expand', 'v')]",game really cute absolute joy regret platinuming game amazing moveset level design stunning visuals story full great humor make laugh even adult amazing platforming experience regret second game fun later worlds challenge time time trial orthis game really cute absolute joy regret platinuming game amazing moveset level design stunning visuals story full great humor make laugh even adult amazing platforming experience regret second game fun later worlds challenge time time trial knit knight trial fun time trial game must play fan platformers psps stun amazing game btw plush special edition sooo cute would reccomend special edition game standard one really worth dollar get lot content digital digital deluxe edition include digital content special edition without tiger sackboy plush phisical artbook actually get digital artbook version expand
